# Wavelength  (nm), QE (%)
861.076074, 1.630358
861.274851, 1.605752
861.474735, 1.581366
861.675691, 1.557206
861.877683, 1.533277
862.080677, 1.509584
862.284638, 1.486132
862.489528, 1.462925
862.695315, 1.439968
862.901961, 1.417263
863.109433, 1.394815
863.317695, 1.372626
863.526711, 1.350700
863.736446, 1.329038
863.946865, 1.307643
864.157932, 1.286517
864.369614, 1.265661
864.581873, 1.245077
864.794675, 1.224767
865.007985, 1.204731
865.221767, 1.184970
865.435986, 1.165485
865.650606, 1.146275
865.865594, 1.127342
866.080912, 1.108684
866.296527, 1.090302
866.512402, 1.072196
866.728502, 1.054364
866.944793, 1.036806
867.161239, 1.019521
867.377804, 1.002509
867.594454, 0.985767
867.811152, 0.969294
868.027865, 0.953090
868.244556, 0.937151
868.461190, 0.921478
868.677732, 0.906068
868.894147, 0.890918
869.110399, 0.876028
869.326454, 0.861395
869.542275, 0.847016
869.757829, 0.832890
869.973078, 0.819015
870.187989, 0.805387
870.402525, 0.792005
870.616652, 0.778865
870.830334, 0.765966
871.043537, 0.753305
871.256224, 0.740879
871.468360, 0.728686
871.679911, 0.716723
871.890841, 0.704986
872.101114, 0.693474
872.310696, 0.682183
872.519551, 0.671111
872.727644, 0.660255
872.934939, 0.649612
873.141402, 0.639180
873.346997, 0.628955
873.551688, 0.618934
873.755441, 0.609115
873.958220, 0.599495
874.159991, 0.590070
874.360717, 0.580840
874.560363, 0.571799
874.758894, 0.562946
874.956276, 0.554278
875.152472, 0.545791
875.347447, 0.537484
875.541167, 0.529354
875.733595, 0.521397
875.924697, 0.513612
876.114437, 0.505994
876.302780, 0.498543
876.489691, 0.491255
876.675134, 0.484127
876.859075, 0.477158
877.041477, 0.470343
877.222306, 0.463682
877.401527, 0.457172
877.579103, 0.450809
877.755001, 0.444593
877.929184, 0.438519
878.101617, 0.432587
878.272265, 0.426794
878.441093, 0.421137
878.608066, 0.415614
878.773148, 0.410224
878.936303, 0.404964
879.097498, 0.399831
879.097498, 0.399831
879.259541, 0.394728
879.424971, 0.389561
879.593684, 0.384339
879.765576, 0.379070
879.940545, 0.373761
880.118487, 0.368419
880.299300, 0.363051
880.482880, 0.357664
880.669123, 0.352264
880.857927, 0.346857
881.049188, 0.341451
881.242803, 0.336050
881.438670, 0.330659
881.636684, 0.325286
881.836742, 0.319933
882.038742, 0.314607
882.242580, 0.309311
882.448153, 0.304050
882.655358, 0.298828
882.864091, 0.293650
883.074249, 0.288518
883.285729, 0.283435
883.498429, 0.278406
883.712244, 0.273433
883.927071, 0.268518
884.142808, 0.263665
884.359350, 0.258875
884.576596, 0.254152
884.794441, 0.249495
885.012782, 0.244908
885.231517, 0.240392
885.450541, 0.235949
885.669753, 0.231579
885.889048, 0.227283
886.108323, 0.223064
886.327476, 0.218921
886.546402, 0.214855
886.764999, 0.210867
886.983164, 0.206956
887.200793, 0.203125
887.417784, 0.199372
887.634032, 0.195697
887.849434, 0.192102
888.063889, 0.188585
888.277291, 0.185146
888.489539, 0.181786
888.700529, 0.178504
888.910157, 0.175299
889.118321, 0.172172
889.324917, 0.169121
889.529842, 0.166147
889.732992, 0.163247
889.934266, 0.160423
890.133559, 0.157673
890.330768, 0.154997
890.525790, 0.152393
890.718522, 0.149862
890.908860, 0.147402
891.096702, 0.145012
891.281944, 0.142692
891.464483, 0.140441
891.644216, 0.138259
891.821039, 0.136143
891.994850, 0.134095
892.165545, 0.132112
892.333020, 0.130194
892.497174, 0.128340
892.657902, 0.126550
892.815101, 0.124823
892.968669, 0.123157
893.118501, 0.121553
893.264495, 0.120009
893.406547, 0.118525
893.544555, 0.117101
893.678415, 0.115735
893.808023, 0.114427
893.933277, 0.113176
894.054074, 0.111983
894.170310, 0.110846
894.281882, 0.109766
894.388687, 0.108740
894.490621, 0.107771
894.587582, 0.106856
894.679466, 0.105996
894.766170, 0.105191
894.847590, 0.104440
894.923625, 0.103743
894.994169, 0.103101
895.059121, 0.102513
895.118377, 0.101979
895.171833, 0.101500
895.219387, 0.101075
895.260935, 0.100706
895.296375, 0.100391
895.325602, 0.100133
895.348514, 0.099930
895.365008, 0.099785
895.374979, 0.099697
895.378326, 0.099668
