# Wavelength  (nm), QE (%)
636.063617, 2.485779
636.601623, 2.455147
637.137730, 2.424861
637.671833, 2.394923
638.203830, 2.365335
638.733616, 2.336098
639.261087, 2.307215
639.786140, 2.278687
640.308671, 2.250514
640.828576, 2.222699
641.345752, 2.195241
641.860094, 2.168142
642.371498, 2.141400
642.879862, 2.115018
643.385081, 2.088994
643.887052, 2.063328
644.385670, 2.038020
644.880832, 2.013070
645.372434, 1.988477
645.860372, 1.964239
646.344543, 1.940356
646.824842, 1.916828
647.301167, 1.893652
647.773412, 1.870827
648.241475, 1.848352
648.705252, 1.826225
649.164638, 1.804445
649.619531, 1.783009
650.069826, 1.761917
650.515419, 1.741166
650.956206, 1.720754
651.392085, 1.700679
651.822951, 1.680939
652.248700, 1.661531
652.669229, 1.642454
653.084433, 1.623706
653.084433, 1.623706
653.494660, 1.605269
653.900378, 1.587127
654.301666, 1.569275
654.698602, 1.551704
655.091263, 1.534408
655.479730, 1.517380
655.864079, 1.500613
656.244389, 1.484103
656.620739, 1.467841
656.993207, 1.451824
657.361871, 1.436043
657.726810, 1.420495
658.088101, 1.405174
658.445824, 1.390073
658.800056, 1.375189
659.150876, 1.360515
659.498363, 1.346048
659.842594, 1.331781
660.183648, 1.317711
660.521603, 1.303833
660.856538, 1.290142
661.188531, 1.276634
661.517660, 1.263306
661.844004, 1.250151
662.167641, 1.237168
662.488649, 1.224351
662.807106, 1.211697
663.123092, 1.199202
663.436684, 1.186863
663.747961, 1.174675
664.057001, 1.162637
664.363882, 1.150743
664.668683, 1.138991
664.971481, 1.127378
665.272357, 1.115901
665.571386, 1.104556
665.868649, 1.093341
666.164224, 1.082252
666.458188, 1.071287
666.750620, 1.060444
667.041598, 1.049719
667.331202, 1.039109
667.619508, 1.028613
667.906596, 1.018228
668.192543, 1.007952
668.477429, 0.997781
668.761331, 0.987714
669.044328, 0.977749
669.326498, 0.967883
669.607920, 0.958115
669.888671, 0.948441
670.168830, 0.938861
670.448476, 0.929373
670.727687, 0.919973
671.006541, 0.910661
671.285116, 0.901435
671.563492, 0.892293
671.841745, 0.883233
672.119955, 0.874254
672.398200, 0.865353
672.676558, 0.856531
672.955107, 0.847784
673.233927, 0.839111
673.513094, 0.830512
673.792689, 0.821984
674.072788, 0.813526
674.353470, 0.805138
674.634814, 0.796817
674.916898, 0.788562
675.199800, 0.780372
675.483599, 0.772247
675.768372, 0.764185
676.054199, 0.756184
676.341158, 0.748244
676.629326, 0.740364
676.918783, 0.732542
677.209606, 0.724779
677.501875, 0.717072
677.795666, 0.709421
678.091059, 0.701825
678.388133, 0.694283
678.686964, 0.686795
678.987633, 0.679360
679.290216, 0.671976
679.594793, 0.664643
679.901441, 0.657361
680.210239, 0.650129
680.521266, 0.642946
680.834600, 0.635811
681.150318, 0.628725
681.468500, 0.621685
681.789224, 0.614693
682.112567, 0.607747
682.438609, 0.600846
682.767428, 0.593991
683.099102, 0.587181
683.433709, 0.580415
683.771329, 0.573693
684.112038, 0.567015
684.112038, 0.567015
684.583931, 0.557832
685.059531, 0.548577
685.538663, 0.539266
686.021152, 0.529912
686.506825, 0.520530
686.995506, 0.511133
687.487023, 0.501733
687.981199, 0.492343
688.477862, 0.482974
688.976837, 0.473637
689.477949, 0.464344
689.981024, 0.455103
690.485888, 0.445924
690.992367, 0.436815
691.500286, 0.427786
692.009471, 0.418844
692.519748, 0.409995
693.030942, 0.401248
693.542880, 0.392607
694.055386, 0.384078
694.568286, 0.375667
695.081407, 0.367378
695.594574, 0.359216
696.107613, 0.351184
696.620348, 0.343285
697.132607, 0.335524
697.644215, 0.327901
698.154997, 0.320421
698.664779, 0.313083
699.173387, 0.305890
699.680646, 0.298844
700.186383, 0.291945
700.690422, 0.285193
701.192590, 0.278589
701.692713, 0.272134
702.190616, 0.265826
702.686124, 0.259667
703.179064, 0.253654
703.669261, 0.247788
704.156540, 0.242067
704.640729, 0.236491
705.121651, 0.231058
705.599134, 0.225767
706.073002, 0.220617
706.543081, 0.215605
707.009198, 0.210730
707.471177, 0.205991
707.928845, 0.201386
708.382027, 0.196911
708.830548, 0.192567
709.274236, 0.188350
709.712914, 0.184259
710.146410, 0.180291
710.574548, 0.176445
710.997154, 0.172717
711.414055, 0.169107
711.825075, 0.165612
712.230041, 0.162230
712.628778, 0.158958
713.021112, 0.155795
713.406868, 0.152738
713.785873, 0.149786
714.157951, 0.146936
714.522930, 0.144186
714.880633, 0.141535
715.230888, 0.138980
715.573519, 0.136520
715.908353, 0.134153
716.235216, 0.131876
716.553932, 0.129688
716.864327, 0.127588
717.166228, 0.125574
717.459460, 0.123644
717.743849, 0.121797
718.019219, 0.120031
718.285398, 0.118346
718.542211, 0.116738
718.789484, 0.115209
719.027041, 0.113755
719.254709, 0.112377
719.472314, 0.111073
719.679682, 0.109842
719.876637, 0.108683
720.063006, 0.107597
720.238614, 0.106581
720.403288, 0.105635
720.556852, 0.104760
720.699132, 0.103954
720.829955, 0.103217
720.949146, 0.102549
721.056531, 0.101950
721.151934, 0.101420
721.235183, 0.100959
721.306103, 0.100568
721.364518, 0.100246
721.410256, 0.099994
721.443142, 0.099814
721.463001, 0.099704
721.469660, 0.099668
